Year of Ceremony,Movie_Title,Nominations,Directed_By,Written_By,Produced_By,Screenplay_By,Adapted_From,Cast,Cinematography,Edited_By,Production Companies,Distributed_By,Date_Released,Running_Time (minutes),Producer_Country,Language,Budget (in millions),Box Office (in millions),Gains,"% of budget/box office made (If the budget is 1/3rd of the revenue, then movie did good, smaller than 33% is better)",Parental Guide,RT Critics,RT Audience,Lat,Long,Setting_City,Setting_Country,Filming_City,Filming_Country,Setting_Time,Film genre ,Summary,Notes
14th,"Tom, Dick and Harry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14th,Truant Officer Donald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14th,War Clouds in the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14th,When Ladies Meet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14th,Fantasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14th,Kukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14th,Target for Tonight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Mrs. Miniver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Yankee Doodle Dandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Pride of the Yankees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,This Above All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,49th Parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Holiday Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,"Now, Voyager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Reap the Wild Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Black Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,My Gal Sal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Woman of the Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Beyond the Line of Duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Der Fuehrer's Face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Johnny Eager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Kokoda Front Line!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Moscow Strikes Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Prelude to War,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Speaking of Animals and Their Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Battle of Midway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Random Harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Talk of the Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Arabian Nights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Jungle Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Magnificent Ambersons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Bambi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Flying Tigers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Kings Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,"Take a Letter, Darling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Pied Piper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,You Were Never Lovelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Captains of the Clouds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Flying with Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,One of Our Aircraft Is Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Road to Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Silver Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Gold Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Shanghai Gesture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,A Ship Is Born,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,"Africa, Prelude to Victory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,All Out for V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Always in My Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Babes on Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Blitz Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Combat Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Conquer by the Clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Desert Wonderland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Desperate Journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Don't Talk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,For Me and My Gal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Friendly Enemies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,George Washington Slept Here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Hellzapoppin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,"Henry Browne, Farmer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,High Over the Borders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,High Stakes in the East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,I Married a Witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th / 16th,In Which We Serve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Inside Fighting China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Invisible Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,It Started with Eve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,It's Everybody's War,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Joan of Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Johnny Doughboy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Juke Box Jamboree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Klondike Fury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Listen to Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Little Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Little Isles of Freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Marines in the Making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Moontide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Mr. Blabbermouth!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Mr. Gardenia Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,My Sister Eileen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Once Upon a Honeymoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Orchestra Wives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Pigs in a Polka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Private Smith of the U.S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Ten Gentlemen from West Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Corsican Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Grain That Built a Hemisphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Mayor of 44th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Navy Comes Through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The New Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Price of Victory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The Spoilers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The War Against Mrs. Hadley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,To Be or Not to Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,To the Shores of Tripoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Tortilla Flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Tulips Shall Grow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Twenty-One Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,United States Marine Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,We Refuse to Die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,The White Eagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Winning Your Wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th,Youth on Parade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Casablanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Song of Bernadette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Phantom of the Opera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,For Whom the Bell Tolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The More the Merrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Human Comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Watch on the Rhine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,This Is the Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,"Hello, Frisco, Hello",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Amphibious Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Crash Dive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,December 7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Desert Victory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Heavenly Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Princess O'Rourke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Yankee Doodle Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,This Land Is Mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Madame Curie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The North Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,So Proudly We Hail!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Five Graves to Cairo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Heaven Can Wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Saludos Amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Thousands Cheer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Hangmen Also Die!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Hit Parade of 1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,In Old Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Something to Shout About,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Stage Door Canteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Star Spangled Rhythm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Sky's the Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Action in the North Atlantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Baptism of Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Bombardier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Cabin in the Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Cavalcade of Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Champions Carry On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Children of Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Commandos Strike at Dawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Coney Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Corvette K-225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Destination Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Flight for Freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Greetings Bait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Hers to Hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Hi Diddle Diddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Hollywood in Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Holy Matrimony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Imagination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Johnny Come Lately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Lady of Burlesque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Lassie Come Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Letter to a Hero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Mardi Gras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Mission to Moscow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Plan for Destruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Reason and Emotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Report from the Aleutians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Riding High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Seeing Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Shadow of a Doubt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,So This Is Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Stand By for Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Swedes in America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Thank Your Lucky Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The 500 Hats of Bartholomew Cubbins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Amazing Mrs. Holliday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Battle of Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Constant Nymph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Dizzy Acrobat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Fallen Sparrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Gang's All Here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Kansan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Moon and Sixpence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,The Ox-Bow Incident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,To the People of the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Tomorrow We Fly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Victory Through Air Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,War Department Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Women at War,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th,Youth in Crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Going My Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Gaslight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Since You Went Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Cover Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Laura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,None but the Lonely Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Thirty Seconds Over Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,I Won't Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Mouse Trouble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Fighting Lady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Who's Who in Animal Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,With the Marines at Tarawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Double Indemnity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Kismet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Meet Me in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Casanova Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Hollywood Canteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Lady in the Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Lifeboat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Song of the Open Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Adventures of Mark Twain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Address Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Dragon Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Higher and Higher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,It Happened Tomorrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,"Lady, Let's Dance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Minstrel Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Mr. Skeffington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Mrs. Parkington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Princess and the Pirate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Up in Arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Voice in the Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,A Guy Named Joe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,And to Think I Saw It on Mulberry Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Blue Grass Gentlemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Bombalera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Christmas Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Days of Glory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,"Dog, Cat and Canary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Fish Fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Follow the Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Hail the Conquering Hero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,His Butler's Sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Home in Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,How to Play Football,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Hymn of the Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Irish Eyes Are Smiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Jack London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Jammin' the Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Janie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Knickerbocker Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Main Street Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Movie Pests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Music in Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,"My Boy, Johnny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,New Americans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,No Time for Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,None Shall Escape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Resisting Enemy Interrogation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Screen Snapshots' 50th Anniversary of Motion Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Secret Command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Sensations of 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Step Lively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Summer Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Sweet and Low-Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Swooner Crooner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Bridge of San Luis Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Climax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Desert Song,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Fighting Seabees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Hairy Ape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Merry Monahans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Miracle of Morgan's Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Seventh Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Story of Dr. Wassell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Fighting Sullivans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Uninvited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The White Cliffs of Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,The Woman of the Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Three Russian Girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Two Girls and a Sailor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,Up in Mabel's Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17th,"Wing and a Prayer, The Story of Carrier X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Lost Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,National Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Bells of St. Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Mildred Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Spellbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Anchors Aweigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Leave Her to Heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Wonder Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Picture of Dorian Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,A Tree Grows in Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,State Fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Blood on the Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Frenchman's Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Hitler Lives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Marie-Louise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Quiet Please!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Stairway to Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Star in the Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The House on 92nd Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The True Glory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,A Song to Remember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Love Letters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Keys of the Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Story of G.I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,"Objective, Burma!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Southerner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,A Medal for Benny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,A Thousand and One Nights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Belle of the Yukon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Can't Help Singing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Flame of Barbary Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Rhapsody in Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Corn Is Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Three Caballeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Valley of Decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,They Were Expendable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Tonight and Every Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
